"State","Price of 4 bedroom home"
Hawaii,1100291
District of Columbia,980473
California,902561
Massachusetts,764154
Washington,708426
New Jersey,647055
Colorado,625487
Oregon,609660
New Hampshire,603921
Rhode Island,580881
Connecticut,532870
Utah,532834
Maryland,522398
Montana,518419
Virginia,516877
Florida,508420
Arizona,505839
Vermont,502284
New York,498486
Nevada,496520
Idaho,492210
Maine,481174
Delaware,469782
North Carolina,466868
Alaska,462654
Tennessee,461982
Pennsylvania,408735
South Carolina,407044
Georgia,406538
Texas,400212
New Mexico,398501
Minnesota,397819
Wyoming,381001
Illinois,378783
Missouri,367217
Wisconsin,363441
Michigan,361914
Alabama,350982
Nebraska,350349
Arkansas,348885
South Dakota,343848
Kansas,341564
Kentucky,332367
Ohio,331074
Indiana,325025
Oklahoma,319626
North Dakota,312237
Louisiana,310031
Mississippi,308864
Iowa,295447
West Virginia,241070
