"State","StartingCostMonthly"
Alabama,29.99
Alaska,40
Arizona,19.99
Arkansas,30
California,29.99
Colorado,25
Connecticut,30
Delaware,19.99
Florida,30
Georgia,19.99
Hawaii,39.99
Idaho,50
Illinois,29.99
Indiana,29.99
Iowa,19.99
Kansas,49.99
Kentucky,39.99
Louisiana,29.99
Maine,28.69
Maryland,19.99
Massachusetts,19.99
Michigan,24.99
Minnesota,15
Mississippi,30
Missouri,30
Montana,30
Nebraska,30
Nevada,30
New Hampshire,19.99
New Jersey,24.99
New Mexico,25
New York,19.99
North Carolina,19.99
North Dakota,27.86
Ohio,19.99
Oklahoma,29.99
Oregon,29.99
Pennsylvania,19.99
Rhode Island,49.99
South Carolina,19.99
South Dakota,44.95
Tennessee,29.99
Texas,35
Utah,34.99
Vermont,34.95
Virginia,20
Washington,29.99
West Virginia,25
Wisconsin,35
Wyoming,40
