State,Child Tax Credit
Alabama,6600.00
Alaska,6600.00
Arizona,6600.00
Arkansas,6600.00
California,6600.00
Colorado,6600.00
Connecticut,6600.00
Delaware,6600.00
Florida,6600.00
Georgia,6600.00
Hawaii,6600.00
Idaho,6600.00
Illinois,6600.00
Indiana,6600.00
Iowa,6600.00
Kansas,6600.00
Kentucky,6600.00
Louisiana,6600.00
Maine,6600.00
Maryland,6543.10
Massachusetts,6042.55
Michigan,6600.00
Minnesota,6600.00
Mississippi,6600.00
Missouri,6600.00
Montana,6600.00
Nebraska,6600.00
Nevada,6600.00
New Hampshire,6412.55
New Jersey,6229.80
New Mexico,6600.00
New York,6600.00
North Carolina,6600.00
North Dakota,6600.00
Ohio,6600.00
Oklahoma,6600.00
Oregon,6600.00
Pennsylvania,6600.00
Rhode Island,6600.00
South Carolina,6600.00
South Dakota,6600.00
Tennessee,6600.00
Texas,6600.00
Utah,6600.00
Vermont,6600.00
Virginia,6600.00
Washington,6600.00
West Virginia,6600.00
Wisconsin,6600.00
Wyoming,6600.00
