State,Gross Income 1 Person,Net Income 1 Person,Gross Income 2 People,Net Income 2 People,Gross Income 3 People,Net Income 3 People,Gross Income 4 People,Net Income 4 People
Alabama,59605,46718.0,72419,55233.0,86685,64713.0,94373,69821.0
Alaska,82512,65026.0,98650,76379.0,114293,87139.0,131159,98667.0
Arizona,66340,52111.0,83660,63828.0,94526,71179.0,107944,80129.0
Arkansas,54658,43711.0,67179,51939.0,77167,58476.0,90146,66898.0
California,74819,55179.0,96600,68034.0,109458,75472.0,128533,86351.0
Colorado,77331,58298.0,101720,74318.0,120195,86139.0,135820,96108.0
Connecticut,81285,58328.0,101344,70915.0,124441,85007.0,149181,100249.0
Delaware,75674,56705.0,92239,67265.0,104443,74975.0,128053,89576.0
Florida,62973,51534.0,77639,61851.0,89908,70482.0,104069,80380.0
Georgia,62468,48069.0,79803,59268.0,90959,66475.0,112675,80290.0
Hawaii,78745,56674.0,94677,66624.0,113594,78206.0,133656,90334.0
Idaho,68781,52502.0,78980,59065.0,90806,66675.0,106407,76612.0
Illinois,66950,51017.0,86442,63765.0,105897,76395.0,125022,88536.0
Indiana,60351,47740.0,77580,59304.0,91431,68600.0,105581,78009.0
Iowa,61283,47647.0,83592,62050.0,98987,71946.0,120308,85192.0
Kansas,64518,49600.0,82685,61345.0,100333,72749.0,111192,79591.0
Kentucky,57509,44953.0,69905,53053.0,83622,62017.0,102067,74038.0
Louisiana,53821,43278.0,66051,51473.0,77910,59312.0,97149,72029.0
Maine,66369,50336.0,79644,58725.0,103965,73859.0,114591,80284.0
Maryland,81293,60674.0,104569,75862.0,127386,90337.0,151138,105583.0
Massachusetts,81170,60097.0,103404,74497.0,127323,89594.0,161149,111832.0
Michigan,64579,49919.0,77600,58526.0,95775,70539.0,114456,82639.0
Minnesota,72319,53870.0,93855,67556.0,117426,82005.0,141903,96849.0
Mississippi,51554,41012.0,62496,48488.0,74909,56600.0,84767,63042.0
Missouri,59605,46876.0,76787,58053.0,91333,67515.0,105914,76906.0
Montana,65242,49637.0,80779,59635.0,84585,62084.0,111516,79225.0
Nebraska,63813,48851.0,83412,61282.0,98600,70911.0,121455,85012.0
Nevada,64412,52546.0,81020,64230.0,88992,69838.0,99819,77455.0
New Hampshire,84017,66338.0,99807,77446.0,130391,98395.0,153749,114778.0
New Jersey,83102,63273.0,100763,74559.0,130239,92862.0,157404,110292.0
New Mexico,56766,44974.0,71277,54472.0,77923,58821.0,83592,62532.0
New York,69135,52086.0,87550,63889.0,105435,75239.0,131389,91036.0
North Carolina,61811,48219.0,78415,59054.0,89965,66592.0,109590,79246.0
North Dakota,66813,53397.0,89505,68898.0,104222,78881.0,122543,91021.0
Ohio,61617,48921.0,77816,59750.0,94913,71104.0,113435,83030.0
Oklahoma,55362,44040.0,71043,54326.0,82213,61654.0,91528,67765.0
Oregon,70266,51533.0,86269,61374.0,103282,71785.0,119432,81422.0
Pennsylvania,66923,52218.0,81574,62066.0,103172,76534.0,125861,91359.0
Rhode Island,72515,54686.0,93429,68307.0,119892,85309.0,138933,97419.0
South Carolina,59661,45528.0,74874,55165.0,87940,63443.0,102244,72468.0
South Dakota,63862,52159.0,83730,66136.0,97624,75910.0,113008,86513.0
Tennessee,59052,48775.0,75424,60293.0,88939,69801.0,99689,77363.0
Texas,61460,50469.0,79870,63421.0,89842,70436.0,108866,83678.0
Utah,78917,58923.0,87303,64415.0,106284,76748.0,120187,85591.0
Vermont,65712,50708.0,88215,65053.0,111980,79939.0,132356,92318.0
Virginia,75756,56888.0,95482,69631.0,116903,83171.0,139667,97422.0
Washington,86558,67745.0,100800,77689.0,118442,89707.0,139828,104231.0
West Virginia,57979,45366.0,64478,49526.0,83128,61434.0,90164,65927.0
Wisconsin,66106,50589.0,82346,61106.0,101490,73535.0,122571,86861.0
Wyoming,61866,50755.0,77243,61572.0,93279,72854.0,113060,86549.0
